name                                     ripgrep  searcher     
literal_linux                              162      346
literal_linux_hidden                       179      417
linux_literal_ignore_case                  176      400
linux_pattern_prefix                       168      394
linux_pattern_prefix_with_context          174      394
linux_pattern_prefix_ignore_case           186      446
linux_pattern_suffix                       178      537
linux_pattern_suffix_with_context          198      562
linux_pattern_suffix_ignore_case           191      588
linux_word                                 170      389
linux_word_with_heading                    168      387
linux_word_ignore_case                     181      636
linux_no_literal                           385      609
linux_no_literal_ignore_case               386      614
linux_alternatives                         177      402
linux_alternatives_with_heading            177      400
linux_alternatives_ignore_case             203      427
