name                                     ripgrep  searcher
literal_linux                              106      274
literal_linux_hidden                       127      292
linux_literal_ignore_case                  114      275
linux_pattern_prefix                       109      270
linux_pattern_prefix_with_context          111      269
linux_pattern_prefix_ignore_case           124      310
linux_pattern_suffix                       117      398
linux_pattern_suffix_with_context          133      430
linux_pattern_suffix_ignore_case           129      437
linux_word                                 109      264
linux_word_with_heading                    110      265
linux_word_ignore_case                     279      468
linux_no_literal                           263      445
linux_no_literal_ignore_case               268      448
linux_alternatives                         111      272
linux_alternatives_with_heading            111      272
linux_alternatives_ignore_case             128      289
